t, nombre 
0.000000, 0
15.652406, 1
15.865294, 0
16.780518, 1
20.462873, 2
21.144688, 1
21.396208, 0
25.590099, 1
26.316836, 2
34.533717, 3
36.216523, 2
37.234531, 1
39.451340, 0
43.398483, 1
44.123559, 0
45.493668, 1
47.614541, 2
50.812125, 3
51.188402, 2
64.077257, 3
64.754833, 2
68.568308, 1
73.848379, 2
75.421647, 3
77.614370, 2
80.721141, 3
81.726840, 4
85.479999, 3
88.931521, 4
93.209075, 3
94.072208, 2
98.976151, 1
99.180902, 0
118.803210, 1
123.665930, 0
132.080534, 1
132.892979, 2
134.584928, 1
138.019877, 2
139.279199, 3
143.891070, 4
144.664138, 5
145.800606, 6
148.014578, 5
155.231804, 4
156.062895, 5
156.397187, 4
159.995152, 5
180.000000, 5
